screen_name,名称,粉丝数,关注数,推文数,频率,蓝标,认证,创建时间,位置,简介,URL,初步判断,分类(留空待填)
misternarcos,Narcos 🔸,42343,668,24589,10,是,否,Tue Dec 13 00:05:00 +0000 2022,,co-founder @tutorialtoken,https://t.co/7WyFDvdXQS,中大号-待确认,
0xmoon,0xMoon,41989,1004,39929,16,是,否,Fri May 14 07:34:39 +0000 2021,Telegram,币安钱包7折邀请码：MOON6626 OKX钱包8折邀请码：0XMOON 3亿用户买币在币安https://t.co/yONbHFnppQ,https://t.co/9R4LsDdGv7,中大号-待确认,
wallstreet0name,华尔街没有名字,40851,169,5239,12,是,否,Wed Dec 25 11:27:59 +0000 2024,华尔街没有技术；将成为最大的交易员爱好平台➡️,"not smart money, but I want to become it.",https://t.co/GM51HOWe3a,中大号-待确认,
crypto_bn,Crypto 🔶 ₿N,35112,3459,49226,12,是,否,Tue Mar 16 18:07:15 +0000 2021,Super Computer,"Crypto Funfluencer. Love your follow. As long as the dice is still rolling, you'll get your six. For now, we clap for others and show love 🫶.",,中大号-待确认,
tyw1984,nanatang,33247,2957,15006,24,是,否,Tue Mar 17 14:54:12 +0000 2020,所有推文不构成投资建议👉🏻,寻求咨询加微Conogo｜表https://t.co/ncq909IeuN｜OKX交易20%优惠：https://t.co/bs6MAhn4V0｜Binance交易10%优惠：https://t.co/lhq57Tx6bA,https://t.co/ipPYGJRsqX,中大号-待确认,
bitcoinatblock,Bitcoin at Block,26726,29,573,10,否,否,Tue Feb 24 22:11:01 +0000 2026,,Making bitcoin everyday money across @blocks @cashapp @square @bitkey @protomining @spiralbtc,https://t.co/zfxiSc00PQ,中大号-待确认,
0xsakura666,0xSakura.Ai🌸,20634,1367,2455,10,是,否,Fri Jan 10 08:45:29 +0000 2025,,AI Developer｜Build人生K线 @chartlife_ai @BNBCHAIN 命运可视化+预测+玄学Agent+社交，官网 https://t.co/XZ64GBJpHP 💪ALL in #AI | #玄学 |,https://t.co/XZ64GBJpHP,中大号-待确认,
felix_fan,Felix,17318,692,1282,166,是,否,Fri Jan 13 18:36:44 +0000 2012,Metaverse,Product intern @TrustWallet,,中大号-待确认,
lumaogou,撸猫的金狗猎手🔶 BNB,17001,166,393,18,是,否,Sat Jun 08 00:20:49 +0000 2024,,A8-归零-A7 重新起航  https://t.co/zTTJIvcmZs,,中大号-待确认,
drawesomedoge,𝙳𝚛. 𝙰𝚠𝚎𝚜𝚘𝚖𝚎 𝙳𝚘𝚐𝚎,16817,329,1983,14,是,否,Mon Jan 11 18:57:01 +0000 2016,"Taipei, Taiwan","Bitcoin since 2013. Translated 3 Bitcoin books to Chinese, all free. Founded Cypherpunks Taiwan. 免費下載 → https://t.co/rOoGM2pvxr",https://t.co/LbYv92d6YQ,中大号-待确认,
goyimpnl,7,15418,464,4066,10,是,否,Fri Feb 18 07:39:56 +0000 2022,いや、勝つさ,attention maximalist ¥,https://t.co/KmW0jpFsou,中大号-待确认,
rtk17025,DD 滴滴./,15014,2154,22130,12,是,否,Thu Dec 12 08:09:18 +0000 2024,,分享一切点点滴滴｜Crypto × 港美股打新 Medical Doctor🥼🩺 把Token回报率做到极致  让AI替我赚钱、替我付订阅费  @cnBaseCommunity build 全真社区 💙 优质合作私信X或TG,https://t.co/DRfYoJbOkN,中大号-待确认,
cunningfoxes,FoxieNFT,12788,6462,2660,10,否,否,Wed Jun 16 11:33:07 +0000 2021,,"#BAYC top holder, Solana maxie, Shitcoin trader",,中大号-待确认,
spigg1115,Spigg 🔶,11264,443,20786,18,是,否,Tue Nov 03 20:07:27 +0000 2020,,the 4️⃣ | Blaugrana | #Binance | #BNB Chain | Believer,https://t.co/vjpWAK8zQD,中大号-待确认,
darthmiaul,DarthMiaul,9485,38,158,26,是,否,Fri Apr 25 17:52:58 +0000 2014,,,,中等-待确认,
esee06257,Esee,9441,1733,3986,16,是,否,Thu Jan 30 15:05:28 +0000 2025,,work like a slave til you own one,,中等-待确认,
okmetom,TOM 🦞,9145,2084,14316,172,是,否,Tue Feb 07 11:53:17 +0000 2023,Australia,Web3 / NFT / Meme / Builder / AI / Design / Hunter / Engineer / Art producer / GAY / INFP / CTO #Binance,https://t.co/WksHZcvj1N,中等-待确认,
cady_btc,表弟想自由🔶BNB,8793,1670,2950,12,是,否,Sat Jan 08 01:05:19 +0000 2022,,ALPHA  🇨🇳 🇨🇦  Crypto Trader   活下去，一直活到弱者也可以生存的时代。 TG: @cady0904  打狗常备：https://t.co/ATw5t0lObL,https://t.co/hAQP111Bgm,中等-待确认,
xiaoyu_184cm,小鱼🔶Binance Angel,8400,1098,5066,32,是,否,Fri Apr 14 09:36:43 +0000 2023,Hong Kong,BNB早期持有者 I Binance Angel  I 2017年进入币圈至今还活着I 币安周边收集及推广大使      币安注册链接：https://t.co/zYI9wh5n6k 币安华语官方TG群：https://t.co/Uaf8aNMBEA,https://t.co/Uaf8aNMBEA,中等-待确认,
kmcrypton,KM 🔶 Crypton,5604,681,33495,14,是,否,Tue Mar 02 13:30:47 +0000 2021,Cyber 🌐,Web3 decoded ✦ Scam hunter ✦ #BNB @BDTCX OG,,中等-待确认,
ryanmyher,Ryan Myher,5483,1152,11940,12,是,否,Tue Jul 31 22:00:35 +0000 2012,NYC,co-founder @GeniusTerminal backed by @yzilabs | prev @nocodenoproblem (Acq),,中等-待确认,
esotericpigeon,Esoteric,4032,8,2396,12,是,否,Tue Apr 01 06:50:41 +0000 2025,,,,中等-待确认,
grok12_john,john,3684,4011,12382,18,是,否,Wed Apr 08 11:01:49 +0000 2009,,"$Lobstar Dev, $Out Dev, over 150 migrations, always paying DEX, honest developer.",,中等-待确认,
burniesendersx,Burnie Senders,3574,82,369,12,是,否,Thu Mar 26 19:45:34 +0000 2026,,soviet sleeper agent,https://t.co/NpwBStgKv3,中等-待确认,
niaoshen988,超级老尿,3160,1914,4969,84,是,否,Sun Jun 16 01:41:01 +0000 2024,Hong Kong,心胸堪比大海   https://t.co/0olBqeQsyW,,中等-待确认,
ayushquantt,Ayush,2650,17,599,26,是,否,Sun Apr 07 00:11:11 +0000 2019,,just a dev trying to make the trenches better.  quant.,,中等-待确认,
shizzlitto,Shizzlit 👀,2555,375,5295,18,是,否,Sat Apr 13 22:54:43 +0000 2024,,https://t.co/YvMiddsEBu   @chudcabal,https://t.co/YvMiddsEBu,中等-待确认,
mabman338,Crypto Man MAB,2482,1856,14204,26,是,否,Tue Jun 06 10:39:31 +0000 2023,,#KOL #Streamer At #CMC #BinanceSquare &  Also @Binance Product Advisory Council Member   https://t.co/sn2Kew41j4,,中等-待确认,
thedevrrrrrrr,thedevrrrrrr,2102,0,1984,28,是,否,Thu Apr 10 19:32:57 +0000 2025,,,,中等-待确认,
jncquant,jnc,1583,131,937,32,是,否,Mon Dec 02 18:03:40 +0000 2024,,https://t.co/jo5OqsFauY,,小号-可能是发币者,
angle754445,角度🔶 BNB,1570,70,2393,446,是,否,Thu Dec 04 03:47:10 +0000 2025,,don't buy my shit coin. NFA:我只负责给角度，之后的市场走势均与我无关,,小号-可能是发币者,
happyoysterai,HappyOyster,1307,4,3,10,是,否,Mon Apr 13 13:01:08 +0000 2026,,The world is your oyster. Open it.,,小号-可能是发币者,
sheepsheepjia,路羊甲,1236,5,40,24,是,否,Tue Jan 25 20:21:02 +0000 2011,羊村,路羊甲,,小号-可能是发币者,
aryonserwin,justadev ☄️,1197,198,2309,126,是,否,Thu Aug 22 04:59:33 +0000 2013,Cambodia,dont buy my shitcoins | Fx trader | @ElevateT1 |,https://t.co/Dp7okYleME,小号-可能是发币者,
shadowonchainn,Shadow🌐,1174,347,1223,12,是,否,Tue Jun 04 11:04:07 +0000 2024,Ethereum,Living life one block at a time💻🌐 @DowvilleFNF owner.,https://t.co/adkCnEBNod,小号-可能是发币者,
4444_holder,HOLDERS,1160,8,119,10,是,否,Sat Mar 28 06:57:47 +0000 2026,,村里来了个大学生（硕士）  推出了HOLD  0xd6b1569d8e7c6d33c7599935b46bd687b321ffff  市场低迷不代表BSC不行 我们都是HOLDERS 我们有那个劲 我们可以成功,https://t.co/9mKIn1lZTp,小号-可能是发币者,
bolttrick,boltrick,1117,5,897,12,是,否,Fri Jan 02 22:45:52 +0000 2026,,,,小号-可能是发币者,
trenchsiu,fiance,1084,48,44,24,否,否,Tue Aug 05 10:59:27 +0000 2014,,没坐,,小号-可能是发币者,
mapalubnb,马帕鲁.AI,1030,36,301,82,是,否,Sun Jun 29 04:37:41 +0000 2014,沟槽的,每一个不曾起舞的日子，都是对生命的辜负 💛#Binance💛良心DEV 老人小孩先走,,小号-可能是发币者,
wantedintel,MostWanted,990,36,710,10,是,否,Mon Oct 28 14:03:30 +0000 2024,,original dev,,小号-可能是发币者,
afengdev,哭哭狗,959,435,2403,54,是,否,Sun May 07 10:26:14 +0000 2023,,哭哭狗,,小号-可能是发币者,
taotheblessing1,Tao 💻,902,42,729,16,是,否,Sun Oct 12 11:01:49 +0000 2025,Web3,技術工程師，從事web3工作 📱,,小号-可能是发币者,
arutyun_1993,BSC_DEV🔶,848,18,134,40,是,否,Fri Apr 12 11:16:12 +0000 2013,,Roasted parsnips with honey—earth sweet glazed gold.,,小号-可能是发币者,
longkai44,Chief 🥀,540,55,146,10,是,否,Mon Jul 14 22:58:09 +0000 2025,,abyss,,小号-可能是发币者,
dihllua,Dihllua,535,30,569,10,是,否,Sat Aug 02 13:03:42 +0000 2025,,trends + virality dev AND a proud bagworker,,小号-可能是发币者,
jadedev888,jadedev,486,338,813,58,是,否,Wed Mar 14 10:59:17 +0000 2018,,don't buy my shit coin | meme trader |恩师@dong7da7| 从不p图|星街彗星  @suisei_hosimati  是我活下去的动力 gmgn监控我 快人一步看到超级无敌螺旋屌炸天叙事！！,,小号-可能是发币者,
doiiares,dolla,447,268,1566,10,是,否,Wed Dec 24 05:20:02 +0000 2025,,cooking,,小号-可能是发币者,
hendadejiaodu,很大很大的角度,409,3299,1290,24,否,否,Sat Sep 04 06:16:01 +0000 2021,,,,小号-可能是发币者,
chillmigratoor,migratoor,393,3,732,12,是,否,Tue Aug 26 09:45:44 +0000 2025,Salty Springs,just a migratoor,,小号-可能是发币者,
bnb_faucet,BNB Faucet,386,2,25,10,否,否,Thu Jul 14 11:32:35 +0000 2016,,首个BSC链上的免Gas公益水龙头  您的第一笔来自BSC的启动资金—— 助力区块梦想,https://t.co/0vfgQL5clf,小号-可能是发币者,
jdunkel,jdunkel.eth,380,1388,338,28,是,否,Sat Mar 08 18:00:17 +0000 2008,,"Building crypto products @BinanceUS. Investor. Previously PM @coinbase, Facebook, @ZeroHashX. All views are my own.",https://t.co/oMy8p50hSj,小号-可能是发币者,
9766xd,ᅟ,378,0,53,18,否,否,Sun Jul 06 23:45:04 +0000 2025,,,,小号-可能是发币者,
youaredegen,Peter猪🔶 BNB,336,10,229,22,是,否,Sat Jan 24 07:06:15 +0000 2026,crypto,重生之我在bsc上当dev,,小号-可能是发币者,
quantisthememe,Quant,319,2,140,32,是,否,Sat Nov 08 13:09:25 +0000 2025,,Shipping on-chain at 400ms finality. Anchor addict.   PDAs are my love language,,小号-可能是发币者,
claworldnfa,ClaworldNfa,308,76,306,10,是,否,Wed Mar 18 10:04:06 +0000 2026,,"""Why?"" Whether you come or not — I will be here. 0x3b486c191c74c9945fa944a3ddde24acdd63ffff",https://t.co/3ifRWx824P,小号-可能是发币者,
100x666888,挖奶峰🔶BNB,302,858,1088,112,是,否,Sun Mar 23 19:47:35 +0000 2025,,尊师：挖掘机 奶牛 阿峰！,,小号-可能是发币者,
king1883560,烽火资本扛把子 乌鸦（不p图）,233,146,374,122,是,否,Fri Feb 07 01:22:54 +0000 2025,,金叉推送员,,小号-可能是发币者,
archie33390,李昊辰🔶BNB,221,14,27,40,是,否,Fri Sep 05 14:21:48 +0000 2025,china,狩猎叙事。 早期胜于拥挤。 无情绪，只执行。,,小号-可能是发币者,
zeeko_sol,Zeeko,219,37,387,20,是,否,Tue Feb 10 16:55:49 +0000 2026,,best trading platform - https://t.co/EDFxc8pRAn,https://t.co/MeXLwsGarV,小号-可能是发币者,
lambs0l,lamb,156,0,55,10,是,否,Sat Jan 09 04:12:09 +0000 2010,"New Orleans, LA",bringing you the narratives no one else can,,小号-可能是发币者,
lovelygana5,GANA,142,647,28,22,否,否,Thu Jan 09 04:20:44 +0000 2020,,,,小号-可能是发币者,
elsharnoub4370,魔丸,141,2,817,36,是,否,Tue Jul 29 21:01:23 +0000 2025,,我命由我不由天,,小号-可能是发币者,
thememedealer_,Meme Dealer,134,47,131,20,是,否,Wed May 25 11:17:32 +0000 2022,,Your Local Narrative Dealer,,小号-可能是发币者,
omarsabnam,1,127,541,26,26,否,否,Mon Jun 01 11:04:40 +0000 2020,,,https://t.co/lvc7cV2hLM,小号-可能是发币者,
levenleven80398,角度挖掘机,123,176,524,194,否,否,Sat Jan 10 13:02:25 +0000 2026,,don't buy my shit coin. NFA:我只负责给角度，之后的市场走势均与我无关 代表作：$SBTI(1M) 从不P图，只发真实角度,,小号-可能是发币者,
thomassandly,Smith,120,257,268,24,是,否,Sat May 10 05:52:25 +0000 2025,Florida,,,小号-可能是发币者,
notickernolife,每天一个好角度,116,134,645,262,是,否,Mon Mar 02 09:59:49 +0000 2026,,,,小号-可能是发币者,
yihebirthday,何一生日,109,0,4,22,否,否,Mon Apr 06 06:30:53 +0000 2026,BNB,"何一生日 on BNB — a symbolic project celebrating identity, time, and digital existence. Blending culture, community, and on-chain meaning. https://t.co/hAup3ahJYI",https://t.co/POh4NWwk5A,小号-可能是发币者,
gonzalogonzal71,伯亮,107,1393,573,14,否,否,Tue Jan 24 06:20:14 +0000 2012,赚钱是我未来几年的原动力。,安全指纹浏览器我选择MoreLogin https://t.co/B8eafw25Dl 邀请码：AAvlGE4ASavC  优惠码  Boliang v：DZsun000,,小号-可能是发币者,
misssheridan09,土豆雷,105,5,153,156,是,否,Mon Mar 16 19:44:47 +0000 2009,,,,小号-可能是发币者,
youthfulwealth,年轻的财富提供者,100,5,448,10,是,否,Wed May 28 21:01:42 +0000 2025,Blockchain,带来财富,,小号-可能是发币者,
dagouzhuanjia,霍伊,84,105,510,14,是,否,Wed Dec 10 10:04:08 +0000 2025,,农村人,,小号-可能是发币者,
jirachi0x19,Jircachi0x,74,10,85,46,否,否,Sun Apr 05 17:39:14 +0000 2026,,millionaire,,小号-可能是发币者,
devyehudi,DevYehudi,73,4,807,12,否,否,Sun Mar 08 21:55:03 +0000 2026,,אני הדב היהודי ברשת הבלוקצ'יין האהובה על אלוהים,,小号-可能是发币者,
six1xxx,TT,72,349,806,164,否,否,Fri Apr 28 12:08:53 +0000 2023,,持续挖掘有趣积极向上的角度 世界充满乐趣,,小号-可能是发币者,
lioneldexi,Lionel Dexi,71,5,32,10,是,否,Tue Mar 24 16:01:31 +0000 2026,,,,小号-可能是发币者,
axopq74224,∠°🔶 BNB,70,284,828,60,是,否,Wed Jul 24 10:16:54 +0000 2024,,热度属于市场♨️° 角度属于认知 📐° DOYR /DYOR,,小号-可能是发币者,
sunkanmialabi,bscguy,70,455,409,24,否,否,Sun Mar 14 14:15:45 +0000 2010,,,https://t.co/pHcFwkHaeG,小号-可能是发币者,
awf93u198f,gorse,69,31,576,10,否,否,Thu Feb 26 20:19:39 +0000 2026,,LMFAO IM A MEME WEAVER,,小号-可能是发币者,
thewaterdeploy,Glow,66,1,22,34,是,否,Sat Mar 21 05:07:40 +0000 2026,,,,小号-可能是发币者,
we_love_gg_snsd,嘎子哥,66,639,389,34,否,否,Mon Jul 22 10:14:25 +0000 2013,SOSHI heart❤,一个喜欢找角度的人,,小号-可能是发币者,
0xpainter_dev,粉刷匠,65,7,268,16,否,否,Sun May 07 09:54:58 +0000 2023,链上,我是一个粉刷匠粉刷本领强,,小号-可能是发币者,
bamdevver,Bam Dev,64,81,1105,20,否,否,Mon Jun 16 18:37:56 +0000 2025,solana,I dev coins,https://t.co/03pzgH8f4X,小号-可能是发币者,
shabi666woc,小鬼,61,632,371,14,否,否,Wed Aug 25 00:27:58 +0000 2021,,枯坐B小将  偶尔发点角度,,小号-可能是发币者,
tmdxushi,叙事叙事还是他妈的叙事,60,3,28,40,是,否,Wed Oct 24 12:36:29 +0000 2018,,叙事 叙事 还是他妈的叙事,,小号-可能是发币者,
gap2026_a7,0xJ_XX,57,813,264,10,否,否,Mon Apr 11 15:03:40 +0000 2022,,来点可乐吗,,小号-可能是发币者,
vukgz,vuguru8,52,209,551,76,否,否,Fri Jul 03 16:20:03 +0000 2020,,,,小号-可能是发币者,
devooring,devooor,48,0,49,22,是,否,Sun Mar 22 20:07:06 +0000 2026,,dev,,小号-可能是发币者,
sichuanzhishu,GM,42,8,177,28,否,否,Wed Sep 22 16:58:58 +0000 2010,BNB,gm,,小号-可能是发币者,
vusimuzindaba2,顶到天,42,126,330,16,否,否,Tue Sep 25 23:27:05 +0000 2012,SouthAfrica,,,小号-可能是发币者,
quyin535731,MBGA 让BSC再次伟大,41,33,310,114,否,否,Fri Aug 18 14:09:52 +0000 2023,,专业角度供货商，不删帖不p图不发虚假信息，只玩真实。 MAKE BSC GREAT AGAIN!!!,,小号-可能是发币者,
bnb6900_x,BNB6900,40,0,6,14,否,否,Mon Apr 06 06:25:50 +0000 2026,BNB,"BNB6900 is a next-gen project blending innovation, utility, and community to build scalable solutions in the digital economy.  https://t.co/ssS8ZIKADV",https://t.co/r5qkon5oo5,小号-可能是发币者,
ak_pony33319,印子,39,439,623,12,否,否,Wed Jan 08 19:53:07 +0000 2025,马来西亚,掌控 meme ，掌控世界,,小号-可能是发币者,
xxxxhold,xxxxHolder,36,33,137,50,否,否,Wed Feb 14 23:50:43 +0000 2024," Camp Verde, AZ ",xxxxHolder,,小号-可能是发币者,
qbb167311,凹凸赵🔶BNB,33,14,165,14,否,否,Sun Nov 30 08:25:10 +0000 2025,,没有叙事的叙事模因,,小号-可能是发币者,
minixkx7tpv,MINI,32,14,16,24,否,否,Tue Sep 21 18:57:47 +0000 2010,,一切皆有可能,,小号-可能是发币者,
jadedev666,just a little dev,31,52,180,42,是,否,Thu Jun 23 21:15:06 +0000 2022,,|安小将||BOME|南鹅北调|10亿|人生| 监控我 快人一步看到超级无敌螺旋屌炸天叙事！！,,小号-可能是发币者,
asshole_sol1,$Asshole,31,40,21,38,否,否,Sat Sep 28 17:42:38 +0000 2024,,,,小号-可能是发币者,
purevess3l,fifamemesss,28,1,302,84,否,否,Tue Dec 24 22:45:54 +0000 2019,,在BSC上创建了世界杯各个国家队的代币，有3%税费用于奖励世界杯前四队伍holders，具体奖励方式见置顶推文，PVE NO PVP。,,小号-可能是发币者,
llavonna69671,Loralee 🔶BNB,27,18,204,22,否,否,Sat Jan 20 16:15:15 +0000 2024,,战绩No1：扭羊歌 战绩No2：疯狂星期四 战绩No3：赵兵买马 战绩No4：歪鼻巴卜 战绩No5：羊太子,,小号-可能是发币者,
sichuan6900,咯咯咯,26,3,156,20,否,否,Fri Jan 12 23:34:04 +0000 2024,,,,小号-可能是发币者,
bnbclawbiz,摸草哥,25,0,51,72,否,否,Wed Jan 21 20:52:10 +0000 2026,BNB,全力摸草,,小号-可能是发币者,
yyq7h6,链上艺术家,25,76,17,24,是,否,Fri Feb 27 05:37:53 +0000 2026,,专一找角度,,小号-可能是发币者,
jakthedegen,Jak,25,1,1,10,是,否,Tue Apr 14 19:34:49 +0000 2026,,On a mission to make $Wojak the greatest memecoin | Dev Of @Wojakcto,,小号-可能是发币者,
huhu721313,米苏,24,103,34,14,否,否,Mon Sep 29 15:02:38 +0000 2025,,,,小号-可能是发币者,
changocoinbnb,Chango,24,10,11,12,否,否,Sun Sep 21 11:49:21 +0000 2025,BSC,Chango the bnb guy.,https://t.co/MEKDBtN7Vm,小号-可能是发币者,
jellowdevz,Jellow,24,6,15,10,是,否,Sun Feb 01 22:25:41 +0000 2026,,,,小号-可能是发币者,
courseyjon89682,0XDDD,22,2,50,10,否,否,Fri Nov 07 13:24:21 +0000 2025,,,,小号-可能是发币者,
0xxx_bscdev,御用dev🔶 BNB,21,210,84,26,否,否,Tue May 20 04:00:58 +0000 2025,,just a dev,,小号-可能是发币者,
gaowancat,睾丸猫,21,3,60,20,否,否,Thu May 16 12:30:38 +0000 2024,,睾丸猫，是指未经过绝育手术的雄性猫。它们保留着完整的生殖系统，具有一些特有的行为和习性。一般来说，睾丸猫比较活跃好动，具有领地意识强烈、喜欢标记领地等特点。此外，未经绝育的雄猫容易对其他雄猫产生攻击或敌视，并且有可能繁殖后代。,,小号-可能是发币者,
alanjohnbgi,ALAN,21,27,75,20,否,否,Sat Nov 07 20:00:57 +0000 2009,Birigui - SP,,,小号-可能是发币者,
